institution,state,actual_casual_fte_2023,actual_casual_fte_2023_source_url,actual_casual_fte_2023_source_sheet,actual_casual_fte_2023_source_cell,total_actual_fte_2023,total_actual_fte_2023_source_url,total_actual_fte_2023_source_sheet,total_actual_fte_2023_source_cell,casual_share_actual_fte_2023_pct,casual_share_actual_fte_2023_pct_source_url,casual_share_actual_fte_2023_pct_source_method,casual_share_actual_fte_2023_pct_source_inputs,casual_teaching_only_fte_2023,casual_teaching_only_fte_2023_source_url,casual_teaching_only_fte_2023_source_sheet,casual_teaching_only_fte_2023_source_cell,casual_teaching_only_share_pct_of_total_staff,casual_teaching_only_share_pct_of_total_staff_source_url,casual_teaching_only_share_pct_of_total_staff_source_method,casual_teaching_only_share_pct_of_total_staff_source_inputs,qilt_undergrad_overall_experience_pct,qilt_undergrad_overall_experience_source_url,qilt_undergrad_overall_experience_source_system,qilt_undergrad_overall_experience_source_metric,qilt_undergrad_overall_experience_source_note,qilt_undergrad_overall_experience_source_verification,total_revenue_2023_k_aud,total_revenue_2023_source_url,total_revenue_2023_source_sheet,total_revenue_2023_source_cell,total_revenue_2023_source_note,net_operating_result_2023_k_aud,net_operating_result_2023_source_url,net_operating_result_2023_source_sheet,net_operating_result_2023_source_cell,net_operating_result_2023_source_note,net_margin_2023_pct,net_margin_2023_source_url,net_margin_2023_source_sheet,net_margin_2023_source_cells,net_margin_2023_source_method,net_margin_2023_source_note
Australian Catholic University,Multi-State,517.73,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K47,2485.41,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I46,20.830768,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K47;A1.10!I46,375.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E46,15.088054,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E46;A1.10!I46,79.1,https://www.compared.edu.au/institution/australian-catholic-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,575637.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AN5,Values are from the Financial Performance sheet and are in $'000.,-35722.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AN80,Values are from the Financial Performance sheet and are in $'000.,-6.205647,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AN5;AN80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Avondale University,New South Wales,35.82,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K5,162.61,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I4,22.028166,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K5;A1.10!I4,14.48,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E4,8.904741,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E4;A1.10!I4,89.3,https://www.compared.edu.au/institution/avondale-university-college/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,31088.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AO5,Values are from the Financial Performance sheet and are in $'000.,-4478.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AO80,Values are from the Financial Performance sheet and are in $'000.,-14.404272,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AO5;AO80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Bond University,Queensland,183.28,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K25,935.83,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I24,19.584754,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K25;A1.10!I24,61.45,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E24,6.566364,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E24;A1.10!I24,87.3,https://www.compared.edu.au/institution/bond-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,228746.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AP5,Values are from the Financial Performance sheet and are in $'000.,3973.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AP80,Values are from the Financial Performance sheet and are in $'000.,1.736861,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AP5;AP80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
CQUniversity,Queensland,187.52,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K26,1666.16,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I25,11.254621,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K26;A1.10!I25,141.68,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E25,8.503385,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E25;A1.10!I25,78.6,https://www.compared.edu.au/institution/cquniversity-australia/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,478573.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,T5,Values are from the Financial Performance sheet and are in $'000.,-6072.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,T80,Values are from the Financial Performance sheet and are in $'000.,-1.268772,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,T5;T80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Charles Darwin University,Northern Territory,87.56,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K44,753.54,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I43,11.619821,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K44;A1.10!I43,60.19,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E43,7.987632,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E43;A1.10!I43,72.5,https://www.compared.edu.au/institution/charles-darwin-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,342014.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AK5,Values are from the Financial Performance sheet and are in $'000.,-20603.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AK80,Values are from the Financial Performance sheet and are in $'000.,-6.024022,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AK5;AK80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Charles Sturt University,New South Wales,306.13,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K6,2318.38,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I5,13.204479,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K6;A1.10!I5,222.75,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E5,9.608002,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E5;A1.10!I5,78.2,https://www.compared.edu.au/institution/charles-sturt-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,492562.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,B5,Values are from the Financial Performance sheet and are in $'000.,-75822.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,B80,Values are from the Financial Performance sheet and are in $'000.,-15.393392,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,B5;B80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Curtin University,Western Australia,627.26,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K33,3762.53,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I32,16.671229,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K33;A1.10!I32,382.68,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E32,10.170816,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E32;A1.10!I32,75.8,https://www.compared.edu.au/institution/curtin-university-of-technology/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,1084402.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AA5,Values are from the Financial Performance sheet and are in $'000.,-12991.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AA80,Values are from the Financial Performance sheet and are in $'000.,-1.197987,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AA5;AA80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Deakin University,Victoria,678.46,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K16,5014.55,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I15,13.529828,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K16;A1.10!I15,452.03,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E15,9.014368,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E15;A1.10!I15,80.6,https://www.compared.edu.au/institution/deakin-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,1287957.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,M5,Values are from the Financial Performance sheet and are in $'000.,-49749.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,M80,Values are from the Financial Performance sheet and are in $'000.,-3.862629,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,M5;M80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Edith Cowan University,Western Australia,434.56,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K34,2087.35,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I33,20.818741,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K34;A1.10!I33,244.17,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E33,11.697607,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E33;A1.10!I33,80.8,https://www.compared.edu.au/institution/edith-cowan-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,677136.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AB5,Values are from the Financial Performance sheet and are in $'000.,194180.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AB80,Values are from the Financial Performance sheet and are in $'000.,28.676662,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AB5;AB80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Federation University Australia,Victoria,233.09,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K17,1467.69,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I16,15.881419,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K17;A1.10!I16,118.51,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E16,8.074593,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E16;A1.10!I16,77.2,https://www.compared.edu.au/institution/federation-university-australia/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,295890.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,L5,Values are from the Financial Performance sheet and are in $'000.,-80961.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,L80,Values are from the Financial Performance sheet and are in $'000.,-27.361857,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,L5;L80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Flinders University,South Australia,312.85,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K38,2490.14,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I37,12.563551,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K38;A1.10!I37,194.94,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E37,7.828476,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E37;A1.10!I37,78.7,https://www.compared.edu.au/institution/flinders-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,634753.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AG5,Values are from the Financial Performance sheet and are in $'000.,25662.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AG80,Values are from the Financial Performance sheet and are in $'000.,4.042832,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AG5;AG80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Griffith University,Queensland,667.37,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K27,4451.98,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I26,14.990409,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K27;A1.10!I26,389.13,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E26,8.740605,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E26;A1.10!I26,79.1,https://www.compared.edu.au/institution/griffith-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,1092735.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,U5,Values are from the Financial Performance sheet and are in $'000.,-66681.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,U80,Values are from the Financial Performance sheet and are in $'000.,-6.102211,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,U5;U80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
James Cook University,Queensland,165.16,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K28,1865.91,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I27,8.851445,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K28;A1.10!I27,82.85,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E27,4.440193,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E27;A1.10!I27,75.0,https://www.compared.edu.au/institution/james-cook-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,516721.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,V5,Values are from the Financial Performance sheet and are in $'000.,-39740.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,V80,Values are from the Financial Performance sheet and are in $'000.,-7.690804,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,V5;V80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
