institution,state,actual_casual_fte_2023,actual_casual_fte_2023_source_url,actual_casual_fte_2023_source_sheet,actual_casual_fte_2023_source_cell,total_actual_fte_2023,total_actual_fte_2023_source_url,total_actual_fte_2023_source_sheet,total_actual_fte_2023_source_cell,casual_share_actual_fte_2023_pct,casual_share_actual_fte_2023_pct_source_url,casual_share_actual_fte_2023_pct_source_method,casual_share_actual_fte_2023_pct_source_inputs,casual_teaching_only_fte_2023,casual_teaching_only_fte_2023_source_url,casual_teaching_only_fte_2023_source_sheet,casual_teaching_only_fte_2023_source_cell,casual_teaching_only_share_pct_of_total_staff,casual_teaching_only_share_pct_of_total_staff_source_url,casual_teaching_only_share_pct_of_total_staff_source_method,casual_teaching_only_share_pct_of_total_staff_source_inputs,qilt_undergrad_overall_experience_pct,qilt_undergrad_overall_experience_source_url,qilt_undergrad_overall_experience_source_system,qilt_undergrad_overall_experience_source_metric,qilt_undergrad_overall_experience_source_note,qilt_undergrad_overall_experience_source_verification,total_revenue_2023_k_aud,total_revenue_2023_source_url,total_revenue_2023_source_sheet,total_revenue_2023_source_cell,total_revenue_2023_source_note,net_operating_result_2023_k_aud,net_operating_result_2023_source_url,net_operating_result_2023_source_sheet,net_operating_result_2023_source_cell,net_operating_result_2023_source_note,net_margin_2023_pct,net_margin_2023_source_url,net_margin_2023_source_sheet,net_margin_2023_source_cells,net_margin_2023_source_method,net_margin_2023_source_note
La Trobe University,Victoria,345.25,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K18,2957.96,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I17,11.671895,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K18;A1.10!I17,228.44,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E17,7.72289,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E17;A1.10!I17,76.0,https://www.compared.edu.au/institution/la-trobe-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,861103.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,N5,Values are from the Financial Performance sheet and are in $'000.,3051.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,N80,Values are from the Financial Performance sheet and are in $'000.,0.354313,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,N5;N80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Macquarie University,New South Wales,589.02,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K7,3534.78,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I6,16.663555,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K7;A1.10!I6,313.46,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E6,8.867879,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E6;A1.10!I6,76.1,https://www.compared.edu.au/institution/macquarie-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,930454.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,C5,Values are from the Financial Performance sheet and are in $'000.,-88436.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,C80,Values are from the Financial Performance sheet and are in $'000.,-9.504607,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,C5;C80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Monash University,Victoria,1526.96,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K19,9400.39,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I18,16.243581,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K19;A1.10!I18,688.52,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E18,7.324377,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E18;A1.10!I18,73.8,https://www.compared.edu.au/institution/monash-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,3012720.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,P5,Values are from the Financial Performance sheet and are in $'000.,-9031.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,P80,Values are from the Financial Performance sheet and are in $'000.,-0.299762,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,P5;P80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Murdoch University,Western Australia,254.55,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K35,1657.12,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I34,15.360988,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K35;A1.10!I34,138.04,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E34,8.330115,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E34;A1.10!I34,77.2,https://www.compared.edu.au/institution/murdoch-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,460662.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AC5,Values are from the Financial Performance sheet and are in $'000.,9060.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AC80,Values are from the Financial Performance sheet and are in $'000.,1.966735,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AC5;AC80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Queensland University of Technology,Queensland,893.46,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K29,4584.87,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I28,19.487139,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K29;A1.10!I28,582.73,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E28,12.709848,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E28;A1.10!I28,75.9,https://www.compared.edu.au/institution/queensland-university-of-technology/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,1188335.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,W5,Values are from the Financial Performance sheet and are in $'000.,-20683.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,W80,Values are from the Financial Performance sheet and are in $'000.,-1.740502,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,W5;W80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
RMIT University,Victoria,505.98,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K20,4235.32,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I19,11.946677,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K20;A1.10!I19,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E19,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E19;A1.10!I19,73.4,https://www.compared.edu.au/institution/rmit-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,1361473.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Q5,Values are from the Financial Performance sheet and are in $'000.,-59891.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Q80,Values are from the Financial Performance sheet and are in $'000.,-4.398986,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Q5;Q80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Southern Cross University,New South Wales,240.89,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K8,1138.25,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I7,21.163189,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K8;A1.10!I7,152.9,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E7,13.432901,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E7;A1.10!I7,70.8,https://www.compared.edu.au/institution/southern-cross-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,313193.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,E5,Values are from the Financial Performance sheet and are in $'000.,-4493.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,E80,Values are from the Financial Performance sheet and are in $'000.,-1.434579,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,E5;E80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Swinburne University of Technology,Victoria,657.46,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K21,2430.21,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I20,27.053629,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K21;A1.10!I20,496.59,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E20,20.434037,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E20;A1.10!I20,77.4,https://www.compared.edu.au/institution/swinburne-university-of-technology/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,836149.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,R5,Values are from the Financial Performance sheet and are in $'000.,22536.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,R80,Values are from the Financial Performance sheet and are in $'000.,2.695213,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,R5;R80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The Australian National University,Australian Capital Territory,452.53,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K45,5029.83,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I44,8.996924,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K45;A1.10!I44,211.53,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E44,4.20551,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E44;A1.10!I44,78.7,https://www.compared.edu.au/institution/the-australian-national-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,1595377.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AL5,Values are from the Financial Performance sheet and are in $'000.,146595.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AL80,Values are from the Financial Performance sheet and are in $'000.,9.188737,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AL5;AL80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Adelaide,South Australia,541.61,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K39,3863.89,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I38,14.017221,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K39;A1.10!I38,295.41,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E38,7.645404,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E38;A1.10!I38,77.0,https://www.compared.edu.au/institution/the-university-of-adelaide/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,1121417.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AF5,Values are from the Financial Performance sheet and are in $'000.,39069.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AF80,Values are from the Financial Performance sheet and are in $'000.,3.483896,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AF5;AF80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Melbourne,Victoria,855.55,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K22,9873.43,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I21,8.665175,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K22;A1.10!I21,437.11,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E21,4.427134,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E21;A1.10!I21,71.1,https://www.compared.edu.au/institution/the-university-of-melbourne/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,3249623.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,O5,Values are from the Financial Performance sheet and are in $'000.,156300.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,O80,Values are from the Financial Performance sheet and are in $'000.,4.809789,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,O5;O80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of New England,New South Wales,298.96,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K9,1510.77,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I8,19.788585,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K9;A1.10!I8,0.12,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E8,0.007943,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E8;A1.10!I8,80.2,https://www.compared.edu.au/institution/university-of-new-england/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,367333.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,F5,Values are from the Financial Performance sheet and are in $'000.,-58957.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,F80,Values are from the Financial Performance sheet and are in $'000.,-16.050015,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,F5;F80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Newcastle,New South Wales,406.77,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K10,3140.01,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I9,12.954417,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K10;A1.10!I9,217.94,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E9,6.940742,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E9;A1.10!I9,78.2,https://www.compared.edu.au/institution/university-of-newcastle/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,840828.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,D5,Values are from the Financial Performance sheet and are in $'000.,-4314.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,D80,Values are from the Financial Performance sheet and are in $'000.,-0.513066,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,D5;D80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Notre Dame Australia,Western Australia,231.94,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K36,1022.01,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I35,22.694494,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K36;A1.10!I35,155.08,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E35,15.17402,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E35;A1.10!I35,75.4,https://www.compared.edu.au/institution/the-university-of-notre-dame-australia/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,231226.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AD5,Values are from the Financial Performance sheet and are in $'000.,1160.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AD80,Values are from the Financial Performance sheet and are in $'000.,0.501674,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AD5;AD80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
