institution,state,actual_casual_fte_2023,actual_casual_fte_2023_source_url,actual_casual_fte_2023_source_sheet,actual_casual_fte_2023_source_cell,total_actual_fte_2023,total_actual_fte_2023_source_url,total_actual_fte_2023_source_sheet,total_actual_fte_2023_source_cell,casual_share_actual_fte_2023_pct,casual_share_actual_fte_2023_pct_source_url,casual_share_actual_fte_2023_pct_source_method,casual_share_actual_fte_2023_pct_source_inputs,casual_teaching_only_fte_2023,casual_teaching_only_fte_2023_source_url,casual_teaching_only_fte_2023_source_sheet,casual_teaching_only_fte_2023_source_cell,casual_teaching_only_share_pct_of_total_staff,casual_teaching_only_share_pct_of_total_staff_source_url,casual_teaching_only_share_pct_of_total_staff_source_method,casual_teaching_only_share_pct_of_total_staff_source_inputs,qilt_undergrad_overall_experience_pct,qilt_undergrad_overall_experience_source_url,qilt_undergrad_overall_experience_source_system,qilt_undergrad_overall_experience_source_metric,qilt_undergrad_overall_experience_source_note,qilt_undergrad_overall_experience_source_verification,total_revenue_2023_k_aud,total_revenue_2023_source_url,total_revenue_2023_source_sheet,total_revenue_2023_source_cell,total_revenue_2023_source_note,net_operating_result_2023_k_aud,net_operating_result_2023_source_url,net_operating_result_2023_source_sheet,net_operating_result_2023_source_cell,net_operating_result_2023_source_note,net_margin_2023_pct,net_margin_2023_source_url,net_margin_2023_source_sheet,net_margin_2023_source_cells,net_margin_2023_source_method,net_margin_2023_source_note
The University of Queensland,Queensland,962.36,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K30,8451.67,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I29,11.386625,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K30;A1.10!I29,496.82,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E29,5.878365,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E29;A1.10!I29,78.0,https://www.compared.edu.au/institution/the-university-of-queensland,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,2467913.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Y5,Values are from the Financial Performance sheet and are in $'000.,117674.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Y80,Values are from the Financial Performance sheet and are in $'000.,4.768158,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Y5;Y80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Sydney,New South Wales,1482.56,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K11,9580.5,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I10,15.474766,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K11;A1.10!I10,488.19,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E10,5.095663,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E10;A1.10!I10,71.3,https://www.compared.edu.au/institution/the-university-of-sydney/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,3418499.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,H5,Values are from the Financial Performance sheet and are in $'000.,351769.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,H80,Values are from the Financial Performance sheet and are in $'000.,10.29016,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,H5;H80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
The University of Western Australia,Western Australia,272.67,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K37,3512.25,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I36,7.7634,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K37;A1.10!I36,99.34,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E36,2.828386,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E36;A1.10!I36,75.5,https://www.compared.edu.au/institution/the-university-of-western-australia/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,1086522.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AE5,Values are from the Financial Performance sheet and are in $'000.,88094.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AE80,Values are from the Financial Performance sheet and are in $'000.,8.107889,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AE5;AE80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Torrens University Australia,South Australia,382.63,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K40,686.15,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I39,55.764774,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K40;A1.10!I39,379.54,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E39,55.314436,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E39;A1.10!I39,77.8,https://www.compared.edu.au/institution/torrens-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,319516.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AR5,Values are from the Financial Performance sheet and are in $'000.,35600.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AR80,Values are from the Financial Performance sheet and are in $'000.,11.141852,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AR5;AR80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Canberra,Australian Capital Territory,156.7,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K46,1275.39,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I45,12.286438,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K46;A1.10!I45,69.45,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E45,5.445393,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E45;A1.10!I45,73.8,https://www.compared.edu.au/institution/university-of-canberra/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,381575.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AM5,Values are from the Financial Performance sheet and are in $'000.,-11127.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AM80,Values are from the Financial Performance sheet and are in $'000.,-2.916072,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AM5;AM80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Divinity,Victoria,7.51,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K23,180.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I22,4.172222,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K23;A1.10!I22,3.11,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E22,1.727778,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E22;A1.10!I22,90.7,https://www.compared.edu.au/institution/university-of-divinity/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,13259.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AQ5,Values are from the Financial Performance sheet and are in $'000.,-1037.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AQ80,Values are from the Financial Performance sheet and are in $'000.,-7.821103,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AQ5;AQ80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of New South Wales,New South Wales,1086.28,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K12,8022.63,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I11,13.540198,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K12;A1.10!I11,619.6,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E11,7.723153,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E11;A1.10!I11,72.2,https://www.compared.edu.au/institution/university-of-new-south-wales/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,2620028.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,G5,Values are from the Financial Performance sheet and are in $'000.,-84871.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,G80,Values are from the Financial Performance sheet and are in $'000.,-3.239317,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,G5;G80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of South Australia,South Australia,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K41,2723.04,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I40,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K41;A1.10!I40,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E40,0.0,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E40;A1.10!I40,77.7,https://www.compared.edu.au/institution/university-of-south-australia/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,713791.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AH5,Values are from the Financial Performance sheet and are in $'000.,-16916.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AH80,Values are from the Financial Performance sheet and are in $'000.,-2.369881,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AH5;AH80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Southern Queensland,Queensland,303.8,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K31,1778.54,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I30,17.081426,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K31;A1.10!I30,236.72,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E30,13.309793,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E30;A1.10!I30,75.3,https://www.compared.edu.au/institution/university-of-southern-queensland/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,357837.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Z5,Values are from the Financial Performance sheet and are in $'000.,-25009.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Z80,Values are from the Financial Performance sheet and are in $'000.,-6.988936,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,Z5;Z80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Tasmania,Tasmania,254.35,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K42,3026.42,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I41,8.404319,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K42;A1.10!I41,11.93,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E41,0.394195,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E41;A1.10!I41,76.7,https://www.compared.edu.au/institution/university-of-tasmania/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,748724.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AI5,Values are from the Financial Performance sheet and are in $'000.,-6689.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AI80,Values are from the Financial Performance sheet and are in $'000.,-0.893387,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,AI5;AI80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Technology Sydney,New South Wales,730.23,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K13,4122.31,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I12,17.714097,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K13;A1.10!I12,464.61,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E12,11.270623,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E12;A1.10!I12,76.7,https://www.compared.edu.au/institution/university-of-technology-sydney/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,1146489.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,I5,Values are from the Financial Performance sheet and are in $'000.,-107025.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,I80,Values are from the Financial Performance sheet and are in $'000.,-9.335022,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,I5;I80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of Wollongong,New South Wales,346.15,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K14,2657.89,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I13,13.023489,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K14;A1.10!I13,201.69,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E13,7.58835,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E13;A1.10!I13,80.7,https://www.compared.edu.au/institution/university-of-wollongong/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,697111.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,K5,Values are from the Financial Performance sheet and are in $'000.,-39089.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,K80,Values are from the Financial Performance sheet and are in $'000.,-5.607285,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,K5;K80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
University of the Sunshine Coast,Queensland,333.46,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K32,1478.03,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I31,22.561112,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K32;A1.10!I31,155.49,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E31,10.520084,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E31;A1.10!I31,80.7,https://www.compared.edu.au/institution/university-of-the-sunshine-coast/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL verified via web search result,368692.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,X5,Values are from the Financial Performance sheet and are in $'000.,20858.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,X80,Values are from the Financial Performance sheet and are in $'000.,5.657297,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,X5;X80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Victoria University,Victoria,291.48,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K24,1582.55,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I23,18.418375,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K24;A1.10!I23,189.88,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E23,11.998357,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E23;A1.10!I23,80.0,https://www.compared.edu.au/institution/victoria-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,539538.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,S5,Values are from the Financial Performance sheet and are in $'000.,-18140.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,S80,Values are from the Financial Performance sheet and are in $'000.,-3.362136,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,S5;S80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
Western Sydney University,New South Wales,754.29,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.17,K15,3275.15,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.10,I14,23.030701,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as actual_casual_fte_2023 / total_actual_fte_2023 * 100,A1.17!K15;A1.10!I14,505.64,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,A1.15,E14,15.438682,https://www.education.gov.au/download/18777/2024-staff-appendix-1-actual-staff-fte/39838/document/xlsx,Derived as casual_teaching_only_fte_2023 / total_actual_fte_2023 * 100,A1.15!E14;A1.10!I14,74.7,https://www.compared.edu.au/institution/western-sydney-university/undergraduate,ComparED institution page,Overall undergraduate results – Had a positive overall experience,ComparED displays SES results pooled across the two most recent collection years.,URL constructed from standard ComparED institution-page pattern,975679.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,J5,Values are from the Financial Performance sheet and are in $'000.,-147621.0,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,J80,Values are from the Financial Performance sheet and are in $'000.,-15.130079,https://www.education.gov.au/download/18872/finance-2023-financial-reports-higher-education-providers/40111/2023-higher-education-providers-finance-tables/xlsx,Financial Performance,J5;J80,Derived as net_operating_result_2023_k_aud / total_revenue_2023_k_aud * 100,Net margin used here as a profitability metric; derived from the Department's finance tables.
